"Station Name","VANCOUVER INT'L A"
"Province","BRITISH COLUMBIA"
"Latitude","49.20"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108447"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"M","Missing"
"E","Estimated"
"NA","Not Available"
"**","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10's deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2010-09-01 00:00","2010","09","01","00:00"," ","13.60","","10.60","","82.00","","5.00","","11.00","","24.10","","101.27","","","","","","Cloudy"
"2010-09-01 01:00","2010","09","01","01:00"," ","13.70","","10.70","","82.00","","0.00","","0.00","","24.10","","101.31","","","","","","Cloudy"
"2010-09-01 02:00","2010","09","01","02:00"," ","13.80","","10.80","","82.00","","0.00","","0.00","","24.10","","101.34","","","","","","Cloudy"
"2010-09-01 03:00","2010","09","01","03:00"," ","14.20","","11.20","","82.00","","28.00","","17.00","","24.10","","101.39","","","","","","Cloudy"
"2010-09-01 04:00","2010","09","01","04:00"," ","14.10","","10.80","","81.00","","28.00","","22.00","","24.10","","101.43","","","","","","Cloudy"
"2010-09-01 05:00","2010","09","01","05:00"," ","13.80","","10.30","","79.00","","29.00","","30.00","","24.10","","101.48","","","","","","Mostly Cloudy"
"2010-09-01 06:00","2010","09","01","06:00"," ","13.80","","10.00","","78.00","","28.00","","20.00","","32.20","","101.54","","","","","","Mainly Clear"
"2010-09-01 07:00","2010","09","01","07:00"," ","14.40","","10.20","","76.00","","29.00","","28.00","","48.30","","101.63","","","","","","Mainly Clear"
"2010-09-01 08:00","2010","09","01","08:00"," ","15.40","","10.40","","72.00","","29.00","","24.00","","48.30","","101.70","","","","","","Mainly Clear"
"2010-09-01 09:00","2010","09","01","09:00"," ","16.10","","10.40","","69.00","","30.00","","22.00","","48.30","","101.77","","","","","","Mainly Clear"
"2010-09-01 10:00","2010","09","01","10:00"," ","16.20","","9.80","","66.00","","30.00","","13.00","","48.30","","101.87","","","","","","Mainly Clear"
"2010-09-01 11:00","2010","09","01","11:00"," ","16.60","","9.30","","62.00","","27.00","","9.00","","48.30","","101.92","","","","","","Mainly Clear"
"2010-09-01 12:00","2010","09","01","12:00"," ","18.30","","8.80","","54.00","","29.00","","13.00","","48.30","","101.95","","","","","","Mainly Clear"
"2010-09-01 13:00","2010","09","01","13:00"," ","17.80","","9.30","","57.00","","22.00","","13.00","","48.30","","102.03","","","","","","Mainly Clear"
"2010-09-01 14:00","2010","09","01","14:00"," ","18.60","","8.40","","51.00","","25.00","","13.00","","48.30","","102.07","","","","","","Mainly Clear"
"2010-09-01 15:00","2010","09","01","15:00"," ","19.00","","5.50","","41.00","","30.00","","9.00","","48.30","","102.09","","","","","","Mainly Clear"
"2010-09-01 16:00","2010","09","01","16:00"," ","18.90","","8.40","","50.00","","22.00","","7.00","","48.30","","102.12","","","","","","Mainly Clear"
"2010-09-01 17:00","2010","09","01","17:00"," ","18.60","","7.10","","47.00","","21.00","","6.00","","48.30","","102.14","","","","","","Mainly Clear"
"2010-09-01 18:00","2010","09","01","18:00"," ","18.30","","5.90","","44.00","","21.00","","7.00","","48.30","","102.13","","","","","","Mainly Clear"
"2010-09-01 19:00","2010","09","01","19:00"," ","17.70","","6.10","","46.00","","19.00","","4.00","","48.30","","102.15","","","","","","Mainly Clear"
"2010-09-01 20:00","2010","09","01","20:00"," ","16.60","","6.60","","52.00","","1.00","","4.00","","48.30","","102.23","","","","","","Mainly Clear"
"2010-09-01 21:00","2010","09","01","21:00"," ","14.60","","7.30","","62.00","","0.00","","0.00","","48.30","","102.27","","","","","","Mainly Clear"
"2010-09-01 22:00","2010","09","01","22:00"," ","14.50","","6.80","","60.00","","4.00","","9.00","","48.30","","102.30","","","","","","Mainly Clear"
"2010-09-01 23:00","2010","09","01","23:00"," ","12.70","","6.60","","66.00","","8.00","","9.00","","48.30","","102.30","","","","","","Mainly Clear"
"2010-09-02 00:00","2010","09","02","00:00"," ","12.30","","6.90","","70.00","","10.00","","13.00","","48.30","","102.35","","","","","","Mainly Clear"
"2010-09-02 01:00","2010","09","02","01:00"," ","11.40","","6.70","","73.00","","7.00","","13.00","","48.30","","102.36","","","","","","Mainly Clear"
"2010-09-02 02:00","2010","09","02","02:00"," ","11.70","","6.40","","70.00","","9.00","","13.00","","48.30","","102.35","","","","","","Clear"
"2010-09-02 03:00","2010","09","02","03:00"," ","12.10","","6.60","","69.00","","12.00","","9.00","","48.30","","102.36","","","","","","Clear"
"2010-09-02 04:00","2010","09","02","04:00"," ","11.50","","6.50","","71.00","","23.00","","4.00","","48.30","","102.35","","","","","","Clear"
"2010-09-02 05:00","2010","09","02","05:00"," ","10.90","","6.80","","76.00","","0.00","","0.00","","48.30","","102.36","","","","","","Clear"
"2010-09-02 06:00","2010","09","02","06:00"," ","11.00","","6.50","","74.00","","0.00","","0.00","","48.30","","102.37","","","","","","Mainly Clear"
"2010-09-02 07:00","2010","09","02","07:00"," ","13.60","","7.90","","68.00","","16.00","","4.00","","48.30","","102.35","","","","","","Mainly Clear"
"2010-09-02 08:00","2010","09","02","08:00"," ","15.30","","8.00","","62.00","","18.00","","4.00","","48.30","","102.33","","","","","","Mainly Clear"
"2010-09-02 09:00","2010","09","02","09:00"," ","16.60","","8.30","","58.00","","0.00","","0.00","","48.30","","102.31","","","","","","Mainly Clear"
"2010-09-02 10:00","2010","09","02","10:00"," ","17.40","","9.90","","61.00","","30.00","","20.00","","48.30","","102.29","","","","","","Mostly Cloudy"
"2010-09-02 11:00","2010","09","02","11:00"," ","18.40","","9.90","","58.00","","29.00","","17.00","","48.30","","102.23","","","","","","Mainly Clear"
"2010-09-02 12:00","2010","09","02","12:00"," ","18.60","","9.80","","57.00","","29.00","","19.00","","48.30","","102.16","","","","","","Mostly Cloudy"
"2010-09-02 13:00","2010","09","02","13:00"," ","19.30","","9.40","","53.00","","31.00","","17.00","","48.30","","102.05","","","","","","Mostly Cloudy"
"2010-09-02 14:00","2010","09","02","14:00"," ","19.10","","9.40","","53.00","","30.00","","19.00","","48.30","","101.99","","","","","","Mostly Cloudy"
"2010-09-02 15:00","2010","09","02","15:00"," ","19.50","","9.90","","54.00","","31.00","","17.00","","48.30","","101.87","","","","","","Mostly Cloudy"
"2010-09-02 16:00","2010","09","02","16:00"," ","19.60","","10.30","","55.00","","30.00","","15.00","","48.30","","101.80","","","","","","Mostly Cloudy"
"2010-09-02 17:00","2010","09","02","17:00"," ","18.20","","11.00","","63.00","","31.00","","17.00","","48.30","","101.68","","","","","","Mostly Cloudy"
"2010-09-02 18:00","2010","09","02","18:00"," ","17.30","","11.40","","68.00","","31.00","","19.00","","48.30","","101.62","","","","","","Mostly Cloudy"
"2010-09-02 19:00","2010","09","02","19:00"," ","16.60","","11.70","","73.00","","31.00","","19.00","","48.30","","101.57","","","","","","Mostly Cloudy"
"2010-09-02 20:00","2010","09","02","20:00"," ","16.10","","11.50","","74.00","","31.00","","13.00","","48.30","","101.55","","","","","","Mostly Cloudy"
"2010-09-02 21:00","2010","09","02","21:00"," ","16.00","","11.20","","73.00","","30.00","","6.00","","48.30","","101.52","","","","","","Mostly Cloudy"
"2010-09-02 22:00","2010","09","02","22:00"," ","15.40","","11.40","","77.00","","34.00","","7.00","","48.30","","101.48","","","","","","Mostly Cloudy"
"2010-09-02 23:00","2010","09","02","23:00"," ","15.90","","10.70","","71.00","","2.00","","9.00","","48.30","","101.46","","","","","","Mostly Cloudy"
"2010-09-03 00:00","2010","09","03","00:00"," ","14.60","","10.20","","75.00","","10.00","","6.00","","48.30","","101.47","","","","","","Mostly Cloudy"
"2010-09-03 01:00","2010","09","03","01:00"," ","13.60","","9.20","","75.00","","29.00","","9.00","","48.30","","101.49","","","","","","Mostly Cloudy"
"2010-09-03 02:00","2010","09","03","02:00"," ","15.00","","10.60","","75.00","","0.00","","0.00","","48.30","","101.49","","","","","","Mostly Cloudy"
"2010-09-03 03:00","2010","09","03","03:00"," ","14.00","","9.90","","76.00","","0.00","","0.00","","48.30","","101.47","","","","","","Mainly Clear"
"2010-09-03 04:00","2010","09","03","04:00"," ","14.40","","9.80","","74.00","","0.00","","0.00","","48.30","","101.47","","","","","","Mainly Clear"
"2010-09-03 05:00","2010","09","03","05:00"," ","14.10","","9.90","","76.00","","0.00","","0.00","","48.30","","101.43","","","","","","Mainly Clear"
"2010-09-03 06:00","2010","09","03","06:00"," ","13.50","","9.50","","77.00","","0.00","","0.00","","48.30","","101.45","","","","","","Mainly Clear"
"2010-09-03 07:00","2010","09","03","07:00"," ","15.30","","10.70","","74.00","","0.00","","0.00","","48.30","","101.45","","","","","","Clear"
"2010-09-03 08:00","2010","09","03","08:00"," ","17.80","","11.50","","67.00","","0.00","","0.00","","48.30","","101.45","","","","","","Clear"
"2010-09-03 09:00","2010","09","03","09:00"," ","19.70","","12.50","","63.00","","0.00","","0.00","","48.30","","101.46","","","","","","Clear"
"2010-09-03 10:00","2010","09","03","10:00"," ","21.40","","12.00","","55.00","","24.00","","9.00","","48.30","","101.46","","","","","","Clear"
"2010-09-03 11:00","2010","09","03","11:00"," ","21.60","","12.30","","55.00","","25.00","","9.00","","48.30","","101.46","","","","","","Clear"
"2010-09-03 12:00","2010","09","03","12:00"," ","21.50","","12.00","","55.00","","25.00","","7.00","","48.30","","101.43","","","","","","Mainly Clear"
"2010-09-03 13:00","2010","09","03","13:00"," ","22.80","","12.70","","53.00","","25.00","","4.00","","48.30","","101.40","","","","","","Mainly Clear"
"2010-09-03 14:00","2010","09","03","14:00"," ","22.20","","13.60","","58.00","","0.00","","0.00","","48.30","","101.36","","","","","","Mainly Clear"
"2010-09-03 15:00","2010","09","03","15:00"," ","25.40","","12.20","","44.00","","22.00","","17.00","","48.30","","101.31","","","","","","Mainly Clear"
"2010-09-03 16:00","2010","09","03","16:00"," ","25.10","","11.70","","43.00","","20.00","","13.00","","48.30","","101.27","","","","","","Mainly Clear"
"2010-09-03 17:00","2010","09","03","17:00"," ","24.20","","11.70","","46.00","","21.00","","4.00","","48.30","","101.24","","","","","","Mostly Cloudy"
"2010-09-03 18:00","2010","09","03","18:00"," ","22.40","","12.60","","54.00","","20.00","","6.00","","48.30","","101.21","","","","","","Mostly Cloudy"
"2010-09-03 19:00","2010","09","03","19:00"," ","19.00","","10.50","","58.00","","0.00","","0.00","","48.30","","101.23","","","","","","Mostly Cloudy"
"2010-09-03 20:00","2010","09","03","20:00"," ","18.10","","10.60","","62.00","","0.00","","0.00","","48.30","","101.31","","","","","","Mainly Clear"
"2010-09-03 21:00","2010","09","03","21:00"," ","18.30","","12.70","","70.00","","29.00","","19.00","","48.30","","101.36","","","","","","Mostly Cloudy"
"2010-09-03 22:00","2010","09","03","22:00"," ","17.60","","13.20","","75.00","","27.00","","43.00","","48.30","","101.36","","","","","","Mostly Cloudy"
"2010-09-03 23:00","2010","09","03","23:00"," ","16.80","","12.10","","74.00","","28.00","","35.00","","48.30","","101.40","","","","","","Mostly Cloudy"
"2010-09-04 00:00","2010","09","04","00:00"," ","16.30","","11.30","","72.00","","28.00","","43.00","","48.30","","101.43","","","","","","Mainly Clear"
"2010-09-04 01:00","2010","09","04","01:00"," ","15.60","","10.40","","71.00","","28.00","","46.00","","32.20","","101.45","","","","","","Mainly Clear"
"2010-09-04 02:00","2010","09","04","02:00"," ","15.20","","9.70","","70.00","","27.00","","46.00","","32.20","","101.49","","","","","","Mainly Clear"
"2010-09-04 03:00","2010","09","04","03:00"," ","14.90","","9.40","","70.00","","27.00","","50.00","","32.20","","101.50","","","","","","Mainly Clear"
"2010-09-04 04:00","2010","09","04","04:00"," ","14.70","","9.00","","69.00","","27.00","","43.00","","32.20","","101.53","","","","","","Mainly Clear"
"2010-09-04 05:00","2010","09","04","05:00"," ","14.30","","8.30","","67.00","","27.00","","48.00","","48.30","","101.55","","","","","","Mainly Clear"
"2010-09-04 06:00","2010","09","04","06:00"," ","14.20","","8.50","","69.00","","28.00","","43.00","","48.30","","101.61","","","","","","Mainly Clear"
"2010-09-04 07:00","2010","09","04","07:00"," ","14.60","","7.80","","64.00","","29.00","","37.00","","48.30","","101.72","","","","","","Clear"
"2010-09-04 08:00","2010","09","04","08:00"," ","15.50","","8.10","","61.00","","28.00","","39.00","","48.30","","101.72","","","","","","Mainly Clear"
"2010-09-04 09:00","2010","09","04","09:00"," ","16.20","","7.80","","57.00","","29.00","","32.00","","48.30","","101.79","","","","","","Mainly Clear"
"2010-09-04 10:00","2010","09","04","10:00"," ","16.60","","8.20","","58.00","","28.00","","30.00","","48.30","","101.82","","","","","","Mainly Clear"
"2010-09-04 11:00","2010","09","04","11:00"," ","17.00","","7.40","","53.00","","28.00","","24.00","","48.30","","101.84","","","","","","Mainly Clear"
"2010-09-04 12:00","2010","09","04","12:00"," ","17.70","","7.30","","50.00","","29.00","","30.00","","48.30","","101.83","","","","","","Mostly Cloudy"
"2010-09-04 13:00","2010","09","04","13:00"," ","17.10","","7.90","","55.00","","30.00","","9.00","","48.30","","101.83","","","","","","Mostly Cloudy"
"2010-09-04 14:00","2010","09","04","14:00"," ","17.10","","8.00","","55.00","","25.00","","15.00","","48.30","","101.82","","","","","","Mostly Cloudy"
"2010-09-04 15:00","2010","09","04","15:00"," ","18.10","","6.90","","48.00","","23.00","","13.00","","48.30","","101.77","","","","","","Mainly Clear"
"2010-09-04 16:00","2010","09","04","16:00"," ","18.10","","6.10","","45.00","","21.00","","22.00","","48.30","","101.72","","","","","","Mostly Cloudy"
"2010-09-04 17:00","2010","09","04","17:00"," ","18.00","","7.10","","49.00","","19.00","","24.00","","48.30","","101.67","","","","","","Mainly Clear"
"2010-09-04 18:00","2010","09","04","18:00"," ","16.80","","7.50","","54.00","","19.00","","17.00","","48.30","","101.66","","","","","","Mostly Cloudy"
"2010-09-04 19:00","2010","09","04","19:00"," ","15.90","","8.40","","61.00","","16.00","","13.00","","48.30","","101.65","","","","","","Mainly Clear"
"2010-09-04 20:00","2010","09","04","20:00"," ","15.20","","8.90","","66.00","","20.00","","17.00","","48.30","","101.68","","","","","","Mainly Clear"
"2010-09-04 21:00","2010","09","04","21:00"," ","15.40","","7.40","","59.00","","28.00","","28.00","","48.30","","101.69","","","","","","Mainly Clear"
"2010-09-04 22:00","2010","09","04","22:00"," ","14.80","","8.20","","65.00","","29.00","","30.00","","48.30","","101.64","","","","","","Mainly Clear"
"2010-09-04 23:00","2010","09","04","23:00"," ","13.10","","7.90","","71.00","","36.00","","6.00","","48.30","","101.67","","","","","","Mainly Clear"
"2010-09-05 00:00","2010","09","05","00:00"," ","12.70","","7.20","","69.00","","0.00","","0.00","","48.30","","101.68","","","","","","Mainly Clear"
"2010-09-05 01:00","2010","09","05","01:00"," ","11.00","","6.50","","74.00","","0.00","","0.00","","48.30","","101.64","","","","","","Mainly Clear"
"2010-09-05 02:00","2010","09","05","02:00"," ","12.00","","7.40","","73.00","","0.00","","0.00","","48.30","","101.71","","","","","","Mainly Clear"
"2010-09-05 03:00","2010","09","05","03:00"," ","12.30","","7.90","","74.00","","0.00","","0.00","","32.20","","101.76","","","","","","Mostly Cloudy"
"2010-09-05 04:00","2010","09","05","04:00"," ","13.30","","7.80","","69.00","","0.00","","0.00","","24.10","","101.79","","","","","","Mostly Cloudy"
"2010-09-05 05:00","2010","09","05","05:00"," ","13.20","","7.90","","70.00","","28.00","","9.00","","24.10","","101.80","","","","","","Cloudy"
"2010-09-05 06:00","2010","09","05","06:00"," ","13.10","","8.00","","71.00","","27.00","","13.00","","32.20","","101.85","","","","","","Cloudy"
"2010-09-05 07:00","2010","09","05","07:00"," ","13.70","","8.30","","70.00","","29.00","","11.00","","32.20","","101.89","","","","","","Mostly Cloudy"
"2010-09-05 08:00","2010","09","05","08:00"," ","14.00","","8.50","","69.00","","28.00","","6.00","","32.20","","101.92","","","","","","Mostly Cloudy"
"2010-09-05 09:00","2010","09","05","09:00"," ","15.30","","7.90","","61.00","","9.00","","4.00","","32.20","","101.94","","","","","","Mostly Cloudy"
"2010-09-05 10:00","2010","09","05","10:00"," ","14.90","","8.20","","64.00","","0.00","","0.00","","32.20","","101.97","","","","","","Mostly Cloudy"
"2010-09-05 11:00","2010","09","05","11:00"," ","14.90","","8.80","","67.00","","29.00","","19.00","","32.20","","102.01","","","","","","Mostly Cloudy"
"2010-09-05 12:00","2010","09","05","12:00"," ","16.90","","9.10","","60.00","","29.00","","15.00","","32.20","","102.02","","","","","","Mostly Cloudy"
"2010-09-05 13:00","2010","09","05","13:00"," ","17.00","","9.00","","59.00","","29.00","","7.00","","32.20","","102.00","","","","","","Mostly Cloudy"
"2010-09-05 14:00","2010","09","05","14:00"," ","16.60","","8.20","","58.00","","24.00","","13.00","","32.20","","102.00","","","","","","Cloudy"
"2010-09-05 15:00","2010","09","05","15:00"," ","16.80","","7.70","","55.00","","20.00","","17.00","","32.20","","101.97","","","","","","Cloudy"
